Transaction ID,Transaction
Trans1,"Soccer Shoe, Hoodies, Socks, Running Shoe"
Trans2,"Tech Pants, Running Shoe, Dry Fit V-Nick"
Trans3,"Soccer Shoe, Tech Pants, Dry Fit V-Nick, Modern Pants, Running Shoe, Swimming Shirt"
Trans4,"Soccer Shoe, Sweatshirts, Modern Pants"
Trans5,"Swimming Shirt, Dry Fit V-Nick, Running Shoe, Soccer Shoe"
Trans6,"Soccer Shoe, Sweatshirts"
Trans7,"Hoodies, Socks"
Trans8,"Sweatshirts, Dry Fit V-Nick, Hoodies, Soccer Shoe"
Trans9,"Tech Pants, Socks, Soccer Shoe, Hoodies, Running Shoe"
Trans10,"Swimming Shirt, Tech Pants"
Trans11,"Soccer Shoe, Socks, Tech Pants, Sweatshirts, Modern Pants, Running Shoe"
Trans12,"Tech Pants, Swimming Shirt, Soccer Shoe, Rash Guard, Running Shoe, Dry Fit V-Nick"
Trans13,"Running Shoe, Socks, Rash Guard, Sweatshirts, Modern Pants, Soccer Shoe"
Trans14,"Hoodies, Tech Pants, Modern Pants, Running Shoe, Swimming Shirt, Soccer Shoe"
Trans15,"Hoodies, Running Shoe, Modern Pants, Rash Guard"
Trans16,"Modern Pants, Sweatshirts, Tech Pants, Soccer Shoe, Swimming Shirt, Rash Guard"
Trans17,"Dry Fit V-Nick, Soccer Shoe, Socks"
Trans18,"Running Shoe, Dry Fit V-Nick, Hoodies, Modern Pants, Socks, Swimming Shirt"
Trans19,"Hoodies, Running Shoe, Dry Fit V-Nick, Swimming Shirt"
Trans20,"Tech Pants, Swimming Shirt"
Trans21,"Soccer Shoe, Tech Pants, Swimming Shirt"
Trans22,"Socks, Dry Fit V-Nick, Modern Pants, Swimming Shirt, Tech Pants"
Trans23,"Running Shoe, Sweatshirts"
Trans24,"Sweatshirts, Modern Pants, Tech Pants"
Trans25,"Swimming Shirt, Soccer Shoe, Running Shoe"
